match_id,batting_team,bowling_team,ball,runs,player_dismissed,city,venue
8,South Africa,England,3.3,6,0,Centurion,SuperSport Park
8,South Africa,England,3.4,6,0,Centurion,SuperSport Park
8,South Africa,England,3.5,0,0,Centurion,SuperSport Park
8,South Africa,England,3.6,0,0,Centurion,SuperSport Park
8,South Africa,England,4.1,2,0,Centurion,SuperSport Park
8,South Africa,England,4.2,1,0,Centurion,SuperSport Park
8,South Africa,England,4.3,4,0,Centurion,SuperSport Park
8,South Africa,England,4.4,0,0,Centurion,SuperSport Park
8,South Africa,England,4.5,0,0,Centurion,SuperSport Park
8,South Africa,England,4.6,1,0,Centurion,SuperSport Park
8,South Africa,England,5.1,1,0,Centurion,SuperSport Park
8,South Africa,England,5.2,1,0,Centurion,SuperSport Park
8,South Africa,England,5.3,0,0,Centurion,SuperSport Park
8,South Africa,England,5.4,0,0,Centurion,SuperSport Park
8,South Africa,England,5.5,1,0,Centurion,SuperSport Park
8,South Africa,England,5.6,1,0,Centurion,SuperSport Park
8,South Africa,England,6.1,6,0,Centurion,SuperSport Park
8,South Africa,England,6.2,4,0,Centurion,SuperSport Park
8,South Africa,England,6.3,1,0,Centurion,SuperSport Park
8,South Africa,England,6.4,1,0,Centurion,SuperSport Park
8,South Africa,England,6.5,1,0,Centurion,SuperSport Park
8,South Africa,England,6.6,0,0,Centurion,SuperSport Park
8,South Africa,England,7.1,6,0,Centurion,SuperSport Park
8,South Africa,England,7.2,1,0,Centurion,SuperSport Park
8,South Africa,England,7.3,0,0,Centurion,SuperSport Park
8,South Africa,England,7.4,0,Q de Kock,Centurion,SuperSport Park
8,South Africa,England,7.5,1,0,Centurion,SuperSport Park
8,South Africa,England,7.6,1,0,Centurion,SuperSport Park
8,South Africa,England,8.1,0,T Bavuma,Centurion,SuperSport Park
8,South Africa,England,8.2,1,0,Centurion,SuperSport Park
8,South Africa,England,8.3,1,0,Centurion,SuperSport Park
8,South Africa,England,8.4,0,0,Centurion,SuperSport Park
8,South Africa,England,8.5,1,0,Centurion,SuperSport Park
8,South Africa,England,8.6,1,0,Centurion,SuperSport Park
8,South Africa,England,9.1,4,0,Centurion,SuperSport Park
8,South Africa,England,9.2,1,0,Centurion,SuperSport Park
8,South Africa,England,9.3,2,0,Centurion,SuperSport Park
8,South Africa,England,9.4,1,0,Centurion,SuperSport Park
8,South Africa,England,9.5,1,0,Centurion,SuperSport Park
8,South Africa,England,9.6,1,0,Centurion,SuperSport Park
8,South Africa,England,10.1,1,0,Centurion,SuperSport Park
8,South Africa,England,10.2,1,0,Centurion,SuperSport Park
8,South Africa,England,10.3,1,0,Centurion,SuperSport Park
8,South Africa,England,10.4,6,0,Centurion,SuperSport Park
8,South Africa,England,10.5,1,0,Centurion,SuperSport Park
8,South Africa,England,10.6,1,0,Centurion,SuperSport Park
8,South Africa,England,10.7,1,0,Centurion,SuperSport Park
8,South Africa,England,11.1,1,0,Centurion,SuperSport Park
8,South Africa,England,11.2,0,HE van der Dussen,Centurion,SuperSport Park
8,South Africa,England,11.3,1,0,Centurion,SuperSport Park
8,South Africa,England,11.4,0,0,Centurion,SuperSport Park
8,South Africa,England,11.5,1,0,Centurion,SuperSport Park
8,South Africa,England,11.6,1,0,Centurion,SuperSport Park
